time,mean_daily_precipitation_mmperday
2003-03-01,0
2003-03-02,0
2003-03-03,0
2003-03-04,0
2003-03-05,0
2003-03-06,0
2003-03-07,0
2003-03-08,0
2003-03-09,0
2003-03-10,0
2003-03-11,0
2003-03-12,0
2003-03-13,0
2003-03-14,0
2003-03-15,0
2003-03-16,0
2003-03-17,0
2003-03-18,0
2003-03-19,0
2003-03-20,0
2003-03-21,0
2003-03-22,0
2003-03-23,0.389999986
2003-03-24,4.59000015
2003-03-25,14.5499992
2003-03-26,0
2003-03-27,0
2003-03-28,0
2003-03-29,0.150000006
2003-03-30,0.0599999987
2003-03-31,0
2003-04-01,0
2003-04-02,0
2003-04-03,0
2003-04-04,0.239999995
2003-04-05,0
2003-04-06,0
2003-04-07,0
2003-04-08,0
2003-04-09,0
2003-04-10,0.540000021
2003-04-11,0
2003-04-12,0
2003-04-13,9.11999989
2003-04-14,0.674999952
2003-04-15,3.80999994
2003-04-16,0.389999986
2003-04-17,0
2003-04-18,0
2003-04-19,1.16999996
2003-04-20,0
2003-04-21,0
2003-04-22,0
2003-04-23,0
2003-04-24,0
2003-04-25,0
2003-04-26,6.17999983
2003-04-27,10.5299997
2003-04-28,0
2003-04-29,0
2003-04-30,0
2003-05-01,0
2003-05-02,0
2003-05-03,0.584999979
2003-05-04,0
2003-05-05,0
2003-05-06,0
2003-05-07,0
2003-05-08,0
2003-05-09,0
2003-05-10,0
2003-05-11,0
2003-05-12,0
2003-05-13,0
2003-05-14,0
2003-05-15,0
2003-05-16,0
2003-05-17,0.179999992
2003-05-18,0
2003-05-19,0
2003-05-20,0.0299999993
2003-05-21,0
2003-05-22,16.8149986
2003-05-23,0
2003-05-24,0.0449999981
2003-05-25,0
2003-05-26,0
2003-05-27,0
2003-05-28,0
2003-05-29,0
2003-05-30,0
2003-05-31,0
2003-06-01,0
2003-06-02,0
2003-06-03,0
2003-06-04,25.9500008
2003-06-05,3.375
2003-06-06,6.84000015
2003-06-07,47.8649979
2003-06-08,3.50999975
2003-06-09,14.0699997
2003-06-10,0.825000048
2003-06-11,0
2003-06-12,0
2003-06-13,0
2003-06-14,0
2003-06-15,34.5900002
2003-06-16,123.089996
2003-06-17,40.0050049
2003-06-18,26.7150002
2003-06-19,73.1100006
2003-06-20,0.150000006
2003-06-21,1.82999992
2003-06-22,13.4850006
2003-06-23,0.329999983
2003-06-24,34.4700012
2003-06-25,2.44499993
2003-06-26,41.6699982
2003-06-27,2.75999999
2003-06-28,0
2003-06-29,3.93000007
2003-06-30,0
2003-07-01,10.7550001
2003-07-02,12.2849998
2003-07-03,11.6100006
2003-07-04,208.559998
2003-07-05,22.3650017
2003-07-06,17.5950012
2003-07-07,14.04
2003-07-08,11.3549995
2003-07-09,32.1150017
2003-07-10,56.1599998
2003-07-11,72.375
2003-07-12,2.12999988
2003-07-13,2.82000017
2003-07-14,10.665
2003-07-15,31.0950012
2003-07-16,14.8800011
2003-07-17,6.35999966
2003-07-18,0.465000004
2003-07-19,2.00999999
2003-07-20,58.154995
2003-07-21,2.71499991
2003-07-22,5.14499998
2003-07-23,26.2200012
2003-07-24,21.5849991
2003-07-25,12.0900002
2003-07-26,0
2003-07-27,11.7900009
2003-07-28,17.4300003
2003-07-29,7.78500032
2003-07-30,2.37000012
2003-07-31,11.7750006
2003-08-01,4.54500008
2003-08-02,15.2849998
2003-08-03,0.495000005
2003-08-04,4.17000008
2003-08-05,48.4199982
2003-08-06,25.664999
2003-08-07,12.1050014
2003-08-08,22.125
2003-08-09,30.8400002
2003-08-10,13.3949995
2003-08-11,8.20499992
2003-08-12,10.4549999
2003-08-13,16.4699993
2003-08-14,13.7550001
2003-08-15,21.3600006
2003-08-16,3.84000015
2003-08-17,30.7800007
2003-08-18,44.3700027
2003-08-19,16.7999992
2003-08-20,8.29500008
2003-08-21,7.80000019
2003-08-22,5.11499977
2003-08-23,10.5149994
2003-08-24,0
2003-08-25,22.8299999
2003-08-26,56.4300003
2003-08-27,13.5150003
2003-08-28,18.9750004
2003-08-29,1.03499997
2003-08-30,0
2003-08-31,3.58500004
2003-09-01,19.9050007
2003-09-02,15.1950006
2003-09-03,8.18999958
2003-09-04,6.53999996
2003-09-05,10.0050001
2003-09-06,2.35500002
2003-09-07,1.755
2003-09-08,0.270000011
2003-09-09,8.34000015
2003-09-10,4.44000006
2003-09-11,4.52999973
2003-09-12,1.15499997
2003-09-13,0.840000033
2003-09-14,14.6999998
2003-09-15,17.7000008
2003-09-16,3.375
2003-09-17,1.04999995
2003-09-18,3.07499981
2003-09-19,0
2003-09-20,0
2003-09-21,0
2003-09-22,64.4850006
2003-09-23,24.4949989
2003-09-24,3.42000008
2003-09-25,0
2003-09-26,0
2003-09-27,0
2003-09-28,3.5999999
2003-09-29,0
2003-09-30,0
2003-10-01,0
2003-10-02,0
2003-10-03,0
2003-10-04,0
2003-10-05,0
2003-10-06,0
2003-10-07,0
2003-10-08,0
2003-10-09,0
2003-10-10,0
2003-10-11,0
2003-10-12,0
2003-10-13,0
2003-10-14,0
2003-10-15,0
2003-10-16,0
2003-10-17,0.344999999
2003-10-18,0
2003-10-19,0
2003-10-20,0
2003-10-21,0
2003-10-22,0
2003-10-23,0
2003-10-24,0
2003-10-25,0
2003-10-26,0.359999985
2003-10-27,0
2003-10-28,0
2003-10-29,0
2003-10-30,0
2003-10-31,0
2003-11-01,0
2003-11-02,0
2003-11-03,0
2003-11-04,0
2003-11-05,0
2003-11-06,0
2003-11-07,0
2003-11-08,0
2003-11-09,0
2003-11-10,0
2003-11-11,0
2003-11-12,0
2003-11-13,0
2003-11-14,0.389999986
2003-11-15,0
2003-11-16,0
2003-11-17,0
2003-11-18,0
2003-11-19,0
2003-11-20,0
2003-11-21,0
2003-11-22,0
2003-11-23,0
2003-11-24,0
2003-11-25,0
2003-11-26,0
2003-11-27,0
2003-11-28,0
2003-11-29,0
2003-11-30,0
2003-12-01,0
2003-12-02,0
2003-12-03,0
2003-12-04,0
2003-12-05,0
2003-12-06,0
2003-12-07,0
2003-12-08,0
2003-12-09,0
2003-12-10,0
2003-12-11,0
2003-12-12,0
2003-12-13,0.329999983
2003-12-14,0
2003-12-15,6.98999977
2003-12-16,29.0700016
2003-12-17,0
2003-12-18,0
2003-12-19,0
2003-12-20,0
2003-12-21,0
2003-12-22,0
2003-12-23,0
2003-12-24,0
2003-12-25,0
2003-12-26,0
2003-12-27,16.9199982
2003-12-28,0
2003-12-29,0
2003-12-30,0
2003-12-31,0
2004-01-01,0
2004-01-02,0
2004-01-03,0
2004-01-04,0
2004-01-05,0
2004-01-06,0
2004-01-07,0
2004-01-08,0
2004-01-09,0
2004-01-10,0
2004-01-11,0
2004-01-12,0
2004-01-13,0
2004-01-14,0
2004-01-15,0
2004-01-16,0
2004-01-17,0
2004-01-18,0
2004-01-19,5.22000027
2004-01-20,0
2004-01-21,20.4899998
2004-01-22,1.03499997
2004-01-23,26.7600002
2004-01-24,0
2004-01-25,0
2004-01-26,0
2004-01-27,0
2004-01-28,0
2004-01-29,0
2004-01-30,0.689999998
2004-01-31,0
2004-02-01,0
2004-02-02,0
2004-02-03,0
2004-02-04,0
2004-02-05,0
2004-02-06,0
2004-02-07,0
2004-02-08,0
2004-02-09,0
2004-02-10,0
2004-02-11,0
2004-02-12,0
2004-02-13,0
2004-02-14,0
2004-02-15,0
2004-02-16,0
2004-02-17,0
2004-02-18,0
2004-02-19,0
2004-02-20,0
2004-02-21,0
2004-02-22,0
2004-02-23,0
2004-02-24,0
2004-02-25,0
2004-02-26,0
2004-02-27,0
2004-02-28,0
2004-02-29,0
2004-03-01,0
2004-03-02,0
2004-03-03,0
2004-03-04,0
2004-03-05,0
2004-03-06,12.1950006
2004-03-07,0
2004-03-08,0
2004-03-09,0
2004-03-10,0
2004-03-11,0
2004-03-12,0
2004-03-13,0
2004-03-14,0
2004-03-15,0
2004-03-16,0
2004-03-17,0
2004-03-18,0
2004-03-19,0
2004-03-20,0
2004-03-21,0
2004-03-22,0
2004-03-23,0
2004-03-24,0
2004-03-25,0
2004-03-26,0
2004-03-27,0
2004-03-28,0
2004-03-29,0
2004-03-30,0
2004-03-31,0
2004-04-01,0
2004-04-02,10.6049995
2004-04-03,0
2004-04-04,0
2004-04-05,0.224999994
2004-04-06,0.0899999961
2004-04-07,0.0299999993
2004-04-08,0
2004-04-09,0
2004-04-10,0
2004-04-11,0
2004-04-12,0
2004-04-13,0
2004-04-14,0
2004-04-15,0
2004-04-16,0
2004-04-17,0.0899999961
2004-04-18,0
2004-04-19,0
2004-04-20,0
2004-04-21,20.8950005
2004-04-22,1.86000001
2004-04-23,2.95499992
2004-04-24,0.449999988
2004-04-25,0
2004-04-26,0
2004-04-27,0.99000001
2004-04-28,0.329999983
2004-04-29,0.270000011
2004-04-30,0.674999952
2004-05-01,0
2004-05-02,0
2004-05-03,0
2004-05-04,0
2004-05-05,0
2004-05-06,0
2004-05-07,0
2004-05-08,0
2004-05-09,0
2004-05-10,0
2004-05-11,0
2004-05-12,0
2004-05-13,0
2004-05-14,0
2004-05-15,0
2004-05-16,0
2004-05-17,0
2004-05-18,0
2004-05-19,0
2004-05-20,0
2004-05-21,0
2004-05-22,3.5250001
2004-05-23,0
2004-05-24,0
2004-05-25,0
2004-05-26,5.41499996
2004-05-27,0.915000021
2004-05-28,0
2004-05-29,2.8499999
2004-05-30,0
2004-05-31,26.9100018
2004-06-01,44.7299995
2004-06-02,2.0250001
2004-06-03,0
2004-06-04,0.735000014
2004-06-05,9.19499969
2004-06-06,0.194999993
2004-06-07,12.4650002
2004-06-08,0.975000024
2004-06-09,4.64999962
2004-06-10,21.8099995
2004-06-11,0.50999999
2004-06-12,0
2004-06-13,0
2004-06-14,0
2004-06-15,50.1600037
2004-06-16,8.41499996
2004-06-17,12.0749998
2004-06-18,48.2849998
2004-06-19,27.375
2004-06-20,0.764999986
2004-06-21,0
2004-06-22,0
2004-06-23,0.435000002
2004-06-24,1.45500004
2004-06-25,4.03500032
2004-06-26,3.9000001
2004-06-27,0.210000008
2004-06-28,0
2004-06-29,0
2004-06-30,0
2004-07-01,32.3100014
2004-07-02,79.1100006
2004-07-03,6.17999983
2004-07-04,1.99499989
2004-07-05,31.6650009
2004-07-06,120.510002
2004-07-07,8.34000015
2004-07-08,80.1149902
2004-07-09,0.540000021
2004-07-10,8.72999954
2004-07-11,0
2004-07-12,4.18499994
2004-07-13,0
2004-07-14,0.465000004
2004-07-15,6.77999973
2004-07-16,3.67499971
2004-07-17,8.95499992
2004-07-18,0
2004-07-19,0
2004-07-20,0
2004-07-21,0
2004-07-22,4.81500006
2004-07-23,3.41999984
2004-07-24,0.674999952
2004-07-25,17.0100002
2004-07-26,15.1350002
2004-07-27,37.0649986
2004-07-28,28.9650002
2004-07-29,8.15999985
2004-07-30,5.57999992
2004-07-31,4.68000031
2004-08-01,9.52499962
2004-08-02,25.5450001
2004-08-03,1.03499997
2004-08-04,13.9800014
2004-08-05,5.95499992
2004-08-06,18.8550014
2004-08-07,11.8800001
2004-08-08,11.1599998
2004-08-09,0
2004-08-10,21.9750004
2004-08-11,7.24499989
2004-08-12,16.4550018
2004-08-13,19.3950005
2004-08-14,0
2004-08-15,66.465004
2004-08-16,40.6800003
2004-08-17,27.329998
2004-08-18,15.375001
2004-08-19,4.18500042
2004-08-20,6.13499928
2004-08-21,12.7049999
2004-08-22,25.8299999
2004-08-23,23.3549995
2004-08-24,58.3799973
2004-08-25,94.9349976
2004-08-26,8.65499973
2004-08-27,0
2004-08-28,0
2004-08-29,0
2004-08-30,0
2004-08-31,0
2004-09-01,0
2004-09-02,0
2004-09-03,0
2004-09-04,0
2004-09-05,0
2004-09-06,0
2004-09-07,0
2004-09-08,0
2004-09-09,0.435000002
2004-09-10,30.3600006
2004-09-11,0
2004-09-12,0
2004-09-13,1.20000005
2004-09-14,73.5149994
2004-09-15,32.5950012
2004-09-16,2.6099999
2004-09-17,8.53499985
2004-09-18,0
2004-09-19,0
2004-09-20,0.389999986
2004-09-21,4.28999996
2004-09-22,84.6900024
2004-09-23,1.91999996
2004-09-24,0
2004-09-25,3.91499996
2004-09-26,0
2004-09-27,0
2004-09-28,0
2004-09-29,0.389999986
2004-09-30,0
2004-10-01,0
2004-10-02,129.914993
2004-10-03,27.4649982
2004-10-04,0
2004-10-05,0
2004-10-06,0
2004-10-07,0
2004-10-08,0
2004-10-09,1.23000002
2004-10-10,26.1750011
2004-10-11,25.8450012
2004-10-12,28.7999992
2004-10-13,17.1749992
2004-10-14,4.48500013
2004-10-15,0
2004-10-16,0
2004-10-17,0
2004-10-18,0
2004-10-19,0
2004-10-20,0
2004-10-21,0
2004-10-22,0
2004-10-23,0
2004-10-24,7.00499964
2004-10-25,0
2004-10-26,11.25
2004-10-27,0
2004-10-28,0
2004-10-29,0
2004-10-30,0
2004-10-31,0
2004-11-01,0
2004-11-02,0
2004-11-03,0
2004-11-04,0.0299999993
2004-11-05,0
2004-11-06,0
2004-11-07,0
2004-11-08,0
2004-11-09,0
2004-11-10,0
2004-11-11,0
2004-11-12,0
2004-11-13,0
2004-11-14,0
2004-11-15,0
2004-11-16,0
2004-11-17,20.7449989
2004-11-18,0
2004-11-19,0
2004-11-20,0
2004-11-21,0
2004-11-22,0
2004-11-23,0
2004-11-24,0
2004-11-25,0
2004-11-26,0
2004-11-27,0
2004-11-28,0
2004-11-29,0
2004-11-30,0
2004-12-01,0
2004-12-02,0
2004-12-03,0
2004-12-04,0
2004-12-05,0
2004-12-06,0
2004-12-07,0
2004-12-08,0
2004-12-09,0
2004-12-10,0
2004-12-11,0
2004-12-12,0
2004-12-13,0
2004-12-14,0
2004-12-15,0
2004-12-16,0
2004-12-17,0
2004-12-18,0
2004-12-19,1.47000003
2004-12-20,0
2004-12-21,0
2004-12-22,0
2004-12-23,0
2004-12-24,0
2004-12-25,0
2004-12-26,0
2004-12-27,0
2004-12-28,0
2004-12-29,0
2004-12-30,0
2004-12-31,0
2005-01-01,0
2005-01-02,0
2005-01-03,0
2005-01-04,0
2005-01-05,0
2005-01-06,0
2005-01-07,0
2005-01-08,0
2005-01-09,0
2005-01-10,0
2005-01-11,0
2005-01-12,0
2005-01-13,0
2005-01-14,0
2005-01-15,0
2005-01-16,0
2005-01-17,0
2005-01-18,0
2005-01-19,0
2005-01-20,0
2005-01-21,0.689999998
2005-01-22,0
2005-01-23,0
2005-01-24,0
2005-01-25,0
2005-01-26,0
2005-01-27,4.30499983
2005-01-28,0
2005-01-29,0
2005-01-30,0
2005-01-31,0
2005-02-01,0
2005-02-02,0
2005-02-03,1.33500004
2005-02-04,0
2005-02-05,0.584999979
2005-02-06,28.7399998
2005-02-07,44.5800018
2005-02-08,0
2005-02-09,0.719999969
2005-02-10,2.81999993
2005-02-11,1.80000007
2005-02-12,18.8999996
2005-02-13,0
2005-02-14,0
2005-02-15,0
2005-02-16,0
2005-02-17,0
2005-02-18,0
2005-02-19,0
2005-02-20,0
2005-02-21,0
2005-02-22,0
2005-02-23,0
2005-02-24,0
2005-02-25,0
2005-02-26,0
2005-02-27,0
2005-02-28,0.735000014
2005-03-01,0
2005-03-02,0
2005-03-03,0
2005-03-04,2.05500007
2005-03-05,4.61999989
2005-03-06,0
2005-03-07,5.44499969
2005-03-08,2.25
2005-03-09,89.5049973
2005-03-10,9.98999977
2005-03-11,0.420000017
2005-03-12,0
2005-03-13,0
2005-03-14,0
2005-03-15,0
2005-03-16,39.5100021
2005-03-17,0
2005-03-18,0
2005-03-19,0
2005-03-20,0
2005-03-21,0.405000001
2005-03-22,0
2005-03-23,2.60999966
2005-03-24,0
2005-03-25,0
2005-03-26,0
2005-03-27,0
2005-03-28,0
2005-03-29,0
2005-03-30,0
2005-03-31,0
2005-04-01,0
2005-04-02,4.61999989
2005-04-03,0
2005-04-04,0
2005-04-05,0
2005-04-06,0
2005-04-07,0
2005-04-08,0
2005-04-09,0
2005-04-10,0
2005-04-11,0
2005-04-12,0
2005-04-13,0
2005-04-14,0
2005-04-15,0
2005-04-16,0
2005-04-17,0
2005-04-18,0
2005-04-19,0
2005-04-20,0
2005-04-21,0
2005-04-22,0
2005-04-23,0
2005-04-24,0
2005-04-25,0
2005-04-26,0
2005-04-27,0
2005-04-28,0
2005-04-29,0.239999995
2005-04-30,5.625
2005-05-01,0.0599999987
2005-05-02,0
2005-05-03,3.31499982
2005-05-04,0
2005-05-05,0.0599999987
2005-05-06,0.0599999987
2005-05-07,0
2005-05-08,0.105000004
2005-05-09,0
2005-05-10,0
2005-05-11,0
2005-05-12,0
2005-05-13,2.17499995
2005-05-14,0
2005-05-15,0
2005-05-16,1.90500009
2005-05-17,0
2005-05-18,0
2005-05-19,29.460001
2005-05-20,2.27999997
2005-05-21,28.1850014
2005-05-22,0
2005-05-23,0
2005-05-24,0
2005-05-25,0
2005-05-26,0
2005-05-27,0
2005-05-28,0
2005-05-29,10.9949999
2005-05-30,0.0449999981
2005-05-31,0
2005-06-01,0
2005-06-02,0
2005-06-03,0
2005-06-04,0
2005-06-05,0
2005-06-06,0
2005-06-07,0
2005-06-08,0
2005-06-09,0
2005-06-10,0
2005-06-11,0
2005-06-12,0
2005-06-13,0
2005-06-14,0
2005-06-15,0
2005-06-16,0.210000008
2005-06-17,0
2005-06-18,0
2005-06-19,0
2005-06-20,0
2005-06-21,0
2005-06-22,44.2799988
2005-06-23,0.50999999
2005-06-24,0
2005-06-25,48.0599976
2005-06-26,57.2999954
2005-06-27,23.5499992
2005-06-28,0.375
2005-06-29,1.36500001
2005-06-30,9.64500046
2005-07-01,0
2005-07-02,4.5
2005-07-03,30.75
2005-07-04,98.4749985
2005-07-05,18.8849983
2005-07-06,1.42500007
2005-07-07,0
2005-07-08,25.7399998
2005-07-09,0
2005-07-10,112.919991
2005-07-11,67.9499969
2005-07-12,12.6750002
2005-07-13,41.7900009
2005-07-14,19.8449993
2005-07-15,7.86000013
2005-07-16,23.0400009
2005-07-17,20.8199997
2005-07-18,4.15500021
2005-07-19,1.60500002
2005-07-20,24.75
2005-07-21,19.6199989
2005-07-22,16.3649998
2005-07-23,20.7749996
2005-07-24,4.52999973
2005-07-25,56.9099998
2005-07-26,24.9449997
2005-07-27,8.48999977
2005-07-28,62.6399994
2005-07-29,7.59000015
2005-07-30,25.4699993
2005-07-31,31.4399986
2005-08-01,97.7099991
2005-08-02,25.1699982
2005-08-03,0
2005-08-04,2.63999987
2005-08-05,4.63500023
2005-08-06,7.93499994
2005-08-07,3.94499993
2005-08-08,0
2005-08-09,0
2005-08-10,3.58500004
2005-08-11,0.659999967
2005-08-12,5.97000027
2005-08-13,0
2005-08-14,47.5950012
2005-08-15,19.4400005
2005-08-16,11.7600002
2005-08-17,1.60500002
2005-08-18,1.38
2005-08-19,14.9099998
2005-08-20,0.779999971
2005-08-21,0.495000005
2005-08-22,0
2005-08-23,0.495000005
2005-08-24,12.9300003
2005-08-25,0
2005-08-26,0
2005-08-27,1.63499999
